Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
45,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,Ship,,UNSURE,0,5,,E,34,6,,,,,,UNSURE Ship,,
46,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,,,Ship,,UNSURE,15,32,,,,,,,,15.53333333,,UNSURE Ship,,
47,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,Ship,,UNSURE,21,35,,,29,48,,,,-21.58333333,29.8,UNSURE Ship,,
48,,,,,,,,,,,,,OR,,,,,,12/30/99,,
49,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/13,Ship,,October 12,21,35,,,29,46.5,,,,-21.58333333,29.775,10/12/63 Ship,,
50,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,,,Ship,,October 12,,,,,,,,,,,,10/12/63 Ship,,
51,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,Ship,,October 13,,,,,27,44,,N,,,27.73333333,10/13/63 Ship,,
52,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,Ship,,October 14,,,,,26,58,,N,,,26.96666667,10/14/63 Ship,,
53,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,Ship,,October 15,,,,,25,5,,N,,,25.08333333,10/15/63 Ship,,
54,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,,,Ship,,October 16,,,,,,,,,,,,10/16/63 Ship,,
55,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,Ship,,October 17,,,,,22,51,,N,,,22.85,10/17/63 Ship,,
56,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/14,,Ship,,October 18,,,,,22,51,,N,,,22.85,10/18/63 Ship,,
57,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 24,2,14,,,50,27,,N,,-2.233333333,50.45,09/24/63 Ship,,
58,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 24,2,22,,,50,26,,,,-2.366666667,50.43333333,09/24/63 Ship,,
59,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 26,1,52,,,50,33,,N,,-1.866666667,50.55,09/26/63 Ship,,
60,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 26,2,28,,,50,25,,,,-2.466666667,50.41666667,09/26/63 Ship,,
61,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 26,2,45,,,50,24,,,,-2.75,50.4,09/26/63 Ship,,
62,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 26,2,54,,,50,23,,,,-2.9,50.38333333,09/26/63 Ship,,
63,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/17,Ship,,September 26,3,3,,,50,22,,,,-3.05,50.36666667,09/26/63 Ship,,
